Id,y
50100.000,1.826
50101.000,1.939
50102.000,1.635
50103.000,1.767
50104.000,1.361
50105.000,1.528
50106.000,1.659
50107.000,2.039
50108.000,1.986
50109.000,1.699
50110.000,1.757
50111.000,1.770
50112.000,1.790
50113.000,1.745
50114.000,1.447
50115.000,1.856
50116.000,1.431
50117.000,1.684
50118.000,2.299
50119.000,1.819
50120.000,1.660
50121.000,2.272
50122.000,1.531
50123.000,2.308
50124.000,1.591
50125.000,2.033
50126.000,1.412
50127.000,1.722
50128.000,1.478
50129.000,1.404
50130.000,1.457
50131.000,1.673
50132.000,1.666
50133.000,1.773
50134.000,1.919
50135.000,2.015
50136.000,1.508
50137.000,1.928
50138.000,1.600
50139.000,1.921
50140.000,1.606
50141.000,1.882
50142.000,1.702
50143.000,1.893
50144.000,1.833
50145.000,1.987
50146.000,1.635
50147.000,1.966
50148.000,1.890
50149.000,1.313
50150.000,1.556
50151.000,1.298
50152.000,1.743
50153.000,1.806
50154.000,1.880
50155.000,1.909
50156.000,2.039
50157.000,1.354
50158.000,2.087
50159.000,1.536
50160.000,1.710
50161.000,1.972
50162.000,1.476
50163.000,1.649
50164.000,1.551
50165.000,1.796
50166.000,1.716
50167.000,1.761
50168.000,1.541
50169.000,1.556
50170.000,1.957
50171.000,1.528
50172.000,1.933
50173.000,1.470
50174.000,2.043
50175.000,1.633
50176.000,1.635
50177.000,1.590
50178.000,2.237
50179.000,1.913
50180.000,1.431
50181.000,1.756
50182.000,1.632
50183.000,1.591
50184.000,1.686
50185.000,2.003
50186.000,1.642
50187.000,2.131
50188.000,1.946
50189.000,1.813
50190.000,1.701
50191.000,1.740
50192.000,2.120
50193.000,1.707
50194.000,1.887
50195.000,1.759
50196.000,2.045
50197.000,1.582
50198.000,2.007
50199.000,2.175
50200.000,1.661
50201.000,1.850
50202.000,1.563
50203.000,1.739
50204.000,1.440
50205.000,1.293
50206.000,1.696
50207.000,1.895
50208.000,2.022
50209.000,1.863
50210.000,1.775
50211.000,1.599
50212.000,1.658
50213.000,1.975
50214.000,1.854
50215.000,1.613
50216.000,1.348
50217.000,1.843
50218.000,1.688
50219.000,1.667
50220.000,1.580
50221.000,1.689
50222.000,1.714
50223.000,1.509
50224.000,1.249
50225.000,1.750
50226.000,1.886
50227.000,1.749
50228.000,1.759
50229.000,1.683
50230.000,1.986
50231.000,1.683
50232.000,1.855
50233.000,1.994
50234.000,1.591
50235.000,2.001
50236.000,1.734
50237.000,1.701
50238.000,1.551
50239.000,1.853
50240.000,1.866
50241.000,1.403
50242.000,1.680
50243.000,1.646
50244.000,1.576
50245.000,2.007
50246.000,1.873
50247.000,1.550
50248.000,1.884
50249.000,1.907
50250.000,1.881
50251.000,1.795
50252.000,2.161
50253.000,2.069
50254.000,1.444
50255.000,2.017
50256.000,1.922
50257.000,1.752
50258.000,1.581
50259.000,1.997
50260.000,1.287
50261.000,1.648
50262.000,1.837
50263.000,1.905
50264.000,1.414
50265.000,1.874
50266.000,1.578
50267.000,1.373
50268.000,1.685
50269.000,1.732
50270.000,1.719
50271.000,2.068
50272.000,2.131
50273.000,2.246
50274.000,1.744
50275.000,1.337
50276.000,2.338
50277.000,2.200
50278.000,1.170
50279.000,1.595
50280.000,1.789
50281.000,1.672
50282.000,1.857
50283.000,2.062
50284.000,1.549
50285.000,1.603
50286.000,1.846
50287.000,1.808
50288.000,2.258
50289.000,1.743
50290.000,1.755
50291.000,1.787
50292.000,1.684
50293.000,2.333
50294.000,1.697
50295.000,1.900
50296.000,2.081
50297.000,1.444
50298.000,1.657
50299.000,2.362
50300.000,1.718
50301.000,1.802
50302.000,1.717
50303.000,2.073
50304.000,1.484
50305.000,1.252
50306.000,1.620
50307.000,1.703
50308.000,1.779
50309.000,1.369
50310.000,1.551
50311.000,2.116
50312.000,2.258
50313.000,1.398
50314.000,1.816
50315.000,1.516
50316.000,1.462
50317.000,1.530
50318.000,2.153
50319.000,2.018
50320.000,2.025
